,DP_splits,DP_moms_splits,cdcl_splits,cdcl_moms_splits,cdcl_chron_splits,cdcl_chron_moms_splits,sudoku_given_clauses,DP_list_sat_clauses,DP_moms_list_sat_clauses,cdcl_list_sat_clauses,cdcl_moms_list_sat_clauses,cdcl_chron_list_sat_clauses,cdcl_chron_moms_list_sat_clauses
838,0,0,0,0,0,0,57,[10643],[10643],[10644],[10644],[10644],[10644]
839,0,0,0,0,0,0,52,[6090],[6090],[6090],[6090],[6090],[6090]
840,0,0,0,0,0,0,55,[10643],[10643],[10644],[10644],[10644],[10644]
841,0,0,0,0,0,0,59,[10643],[10643],[10644],[10644],[10644],[10644]
842,0,0,0,0,0,0,59,[1574],[1574],[1574],[1574],[1574],[1574]
843,0,0,0,0,0,0,63,[9833],[9833],[9834],[9834],[9834],[9834]
844,0,0,0,0,0,0,55,[10643],[10643],[10644],[10644],[10644],[10644]
845,0,0,0,0,0,0,54,[10643],[10643],[10644],[10644],[10644],[10644]
846,0,0,0,0,0,0,54,[3598],[3598],[3598],[3598],[3598],[3598]
847,0,0,0,0,0,0,58,[10643],[10643],[10644],[10644],[10644],[10644]
848,0,0,0,0,0,0,57,[10643],[10643],[10644],[10644],[10644],[10644]
849,0,0,0,0,0,0,62,[10643],[10643],[10644],[10644],[10644],[10644]
850,0,0,0,0,0,0,51,[10643],[10643],[10644],[10644],[10644],[10644]
851,0,0,0,0,0,0,62,[5068],[5068],[5068],[5068],[5068],[5068]
852,0,0,0,0,0,0,51,[10643],[10643],[10644],[10644],[10644],[10644]
853,0,0,0,0,0,0,58,[10643],[10643],[10644],[10644],[10644],[10644]
854,0,0,0,0,0,0,57,[8543],[8543],[8544],[8544],[8544],[8544]
855,0,0,0,0,0,0,58,[9833],[9833],[9834],[9834],[9834],[9834]
856,0,0,0,0,0,0,66,[10643],[10643],[10644],[10644],[10644],[10644]
857,0,0,0,0,0,0,57,[5068],[5068],[5068],[5068],[5068],[5068]
858,0,0,0,0,0,0,53,[2586],[2586],[2586],[2586],[2586],[2586]
859,0,0,0,0,0,0,55,[9833],[9833],[9834],[9834],[9834],[9834]
860,0,0,0,0,0,0,55,[10643],[10643],[10644],[10644],[10644],[10644]
861,0,0,0,0,0,0,55,[10643],[10643],[10644],[10644],[10644],[10644]
862,0,0,0,0,0,0,64,[4578],[4578],[4578],[4578],[4578],[4578]
863,0,0,0,0,0,0,58,[10643],[10643],[10644],[10644],[10644],[10644]
864,0,0,0,0,0,0,52,[5068],[5068],[5068],[5068],[5068],[5068]
865,0,0,0,0,0,0,57,[6642],[6642],[6642],[6642],[6642],[6642]
866,0,0,0,0,0,0,58,[4092],[4092],[4092],[4092],[4092],[4092]
867,0,0,0,0,0,0,57,[4092],[4092],[4092],[4092],[4092],[4092]
868,0,0,0,0,0,0,59,[10643],[10643],[10644],[10644],[10644],[10644]
869,0,0,0,0,0,0,56,[3598],[3598],[3598],[3598],[3598],[3598]
870,0,0,0,0,0,0,57,[10643],[10643],[10644],[10644],[10644],[10644]
871,0,0,0,0,0,0,56,[10643],[10643],[10644],[10644],[10644],[10644]
872,0,0,0,0,0,0,57,[10643],[10643],[10644],[10644],[10644],[10644]
873,0,0,0,0,0,0,56,[4092],[4092],[4092],[4092],[4092],[4092]
874,0,0,0,0,0,0,56,[10643],[10643],[10644],[10644],[10644],[10644]
875,0,0,0,0,0,0,52,[10643],[10643],[10644],[10644],[10644],[10644]
876,0,0,0,0,0,0,58,[2084],[2084],[2084],[2084],[2084],[2084]
877,0,0,0,0,0,0,57,[3598],[3598],[3598],[3598],[3598],[3598]
878,0,0,0,0,0,0,59,[10643],[10643],[10644],[10644],[10644],[10644]
879,0,0,0,0,0,0,60,[10643],[10643],[10644],[10644],[10644],[10644]
880,0,0,0,0,0,0,56,[3598],[3598],[3598],[3598],[3598],[3598]
881,0,0,0,0,0,0,55,[10643],[10643],[10644],[10644],[10644],[10644]
882,0,0,0,0,0,0,60,[10643],[10643],[10644],[10644],[10644],[10644]
883,0,0,0,0,0,0,54,[2586],[2586],[2586],[2586],[2586],[2586]
884,0,0,0,0,0,0,60,[10643],[10643],[10644],[10644],[10644],[10644]
885,0,0,0,0,0,0,65,[2586],[2586],[2586],[2586],[2586],[2586]
886,0,0,0,0,0,0,56,[5068],[5068],[5068],[5068],[5068],[5068]
887,0,0,0,0,0,0,53,[10643],[10643],[10644],[10644],[10644],[10644]
888,0,0,0,0,0,0,50,[10643],[10643],[10644],[10644],[10644],[10644]
